Environment,RewGranularity,PenGranularity,EEBA1,EEBA2,ELA1,ELA2,LELA2,LIN_SUM,ROLF_EXP_LOG1,ROLF_EXP_LOG2,SEBA1,SEBA2,SFLLA1,SFLLA2,SFMLA1,SFMLA2,TLO$^A$
Sokobanrew0.01pen10.0,1,1,-201.95***,-273.58***,NA,NA,NA,-182.35,NA,NA,NA,NA,-212.99***,-257.50***,NA,NA,-182.31
Sokobanrew0.01pen10.0,10,0,-204.44***,-273.28***,NA,NA,NA,-182.42,NA,NA,NA,NA,-206.69***,-273.83***,NA,NA,-182.31
Sokobanrew0.01pen10.0,10,10,-469.86***,-493.89***,NA,NA,NA,-182.61,NA,NA,NA,NA,-469.76***,-493.96***,NA,NA,-182.31
Sokobanrew0.01pen10.0,100,0,-229.34***,-277.31***,NA,NA,NA,-182.41,NA,NA,NA,NA,-242.13***,-260.06***,NA,NA,-182.31
Sokobanrew0.01pen10.0,100,100,-469.87***,-493.81***,NA,NA,NA,-182.51,NA,NA,NA,NA,-469.64***,-493.85***,NA,NA,-182.31
Unbreakable Bottles,0,0,28.73***,28.76***,16.55***,28.74***,28.78***,28.79***,16.37***,20.14***,28.78***,28.67***,27.95***,28.72***,28.80***,28.73***,27.10
Unbreakable Bottles,0,0.01,28.73***,28.71***,17.91***,28.67***,28.72***,28.72***,17.50***,20.18***,28.72***,28.64***,27.94***,28.73***,28.71***,28.77***,27.10
Unbreakable Bottles,0,0.1,28.70***,28.69***,20.38***,28.74***,28.80***,28.70***,19.72***,20.27***,28.73***,28.62***,27.92***,28.72***,28.68***,28.73***,27.10
Unbreakable Bottles,0,1,28.70***,28.71***,21.51***,28.73***,28.76***,28.71***,20.63***,20.16***,28.76***,28.61***,28.77***,28.73***,28.76***,28.82***,27.10
Unbreakable Bottles,0,10,28.73***,28.75***,20.94***,28.74***,28.67***,28.76***,20.42***,20.02***,28.75***,28.68***,28.72***,28.75***,28.72***,28.69***,27.10
Unbreakable Bottles,0,100,28.76***,28.72***,21.07***,28.73***,28.67***,28.77***,20.31***,15.60***,28.76***,28.77***,28.72***,28.70***,28.74***,28.73***,27.10
Unbreakable Bottles,0.01,0,28.73***,28.75***,16.70***,28.72***,28.70***,28.76***,16.23***,20.13***,28.74***,28.64***,27.91***,28.74***,28.70***,28.73***,27.10
Unbreakable Bottles,0.01,0.01,28.72***,28.71***,17.93***,28.75***,28.77***,28.75***,17.60***,20.18***,28.71***,28.60***,27.88***,28.75***,28.75***,28.73***,27.10
Unbreakable Bottles,0.1,0,28.76***,28.73***,16.65***,28.68***,28.71***,28.75***,16.30***,20.22***,28.68***,28.63***,27.96***,28.72***,28.77***,28.76***,27.10
Unbreakable Bottles,0.1,0.1,28.63***,28.74***,20.45***,28.72***,28.73***,28.69***,19.58***,20.20***,28.60***,28.61***,27.88***,28.77***,28.60***,28.76***,27.10
Unbreakable Bottles,1,0,28.64***,28.73***,16.57***,28.74***,28.77***,28.73***,16.07***,19.83***,28.59***,28.60***,27.79***,28.72***,28.61***,28.72***,27.10
Unbreakable Bottles,1,1,28.22***,28.74***,21.41***,28.68***,28.74***,28.74***,20.50***,20.10***,28.19***,28.68***,28.25***,28.78***,28.24***,28.79***,27.10
Unbreakable Bottles,10,0,23.22***,-458.97***,10.27***,-459.24***,-459.28***,28.74***,9.94***,13.34***,22.71***,-479.39***,22.53***,-456.53***,23.20***,-460.72***,27.10
Unbreakable Bottles,10,10,18.57***,-124.48***,15.96***,-76.19***,-108.78***,28.79***,16.12***,9.24***,18.44***,-98.02***,18.41***,-102.87***,18.43***,-87.58***,27.10
Unbreakable Bottles,100,0,-13.27***,-458.83***,-7.62***,-459.19***,-458.94***,28.74***,-9.15***,28.16***,-1.04***,-476.28***,-8.23***,-459.13***,0.80***,-458.57***,27.10
Unbreakable Bottles,100,100,-29.84***,-127.06***,-29.72***,-96.82***,-79.80***,28.73***,-29.94***,-6.41***,-29.92***,-94.66***,-29.76***,-134.72***,-29.89***,-87.88***,27.10
